file_name,label
3311_Electronics,Electronics
212_Beauty,Beauty
1656_Beauty,Beauty
2564_Electronics,Electronics
1955_Kitchen,Kitchen
529_Sports,Sports
4123_Electronics,Electronics
2229_Sports,Sports
2805_Beauty,Beauty
4547_Kitchen,Kitchen
4042_Beauty,Beauty
2554_Sports,Sports
4342_Sports,Sports
1885_Beauty,Beauty
1907_Sports,Sports
410_Electronics,Electronics
4510_Beauty,Beauty
3482_Sports,Sports
4698_Sports,Sports
1107_Beauty,Beauty
4765_Kitchen,Kitchen
2097_Beauty,Beauty
2660_Sports,Sports
3992_Sports,Sports
1093_Electronics,Electronics
2994_Sports,Sports
1698_Beauty,Beauty
4105_Sports,Sports
3088_Sports,Sports
3693_Kitchen,Kitchen
3643_Kitchen,Kitchen
4519_Electronics,Electronics
1912_Sports,Sports
3098_Sports,Sports
1717_Kitchen,Kitchen
2834_Kitchen,Kitchen
3233_Electronics,Electronics
3746_Beauty,Beauty
833_Kitchen,Kitchen
4861_Sports,Sports
2029_Beauty,Beauty
1751_Kitchen,Kitchen
585_Beauty,Beauty
3495_Beauty,Beauty
4435_Electronics,Electronics
1320_Kitchen,Kitchen
1465_Electronics,Electronics
4378_Sports,Sports
3492_Beauty,Beauty
2853_Electronics,Electronics
2864_Electronics,Electronics
466_Electronics,Electronics
4208_Kitchen,Kitchen
837_Sports,Sports
4274_Kitchen,Kitchen
3155_Kitchen,Kitchen
4941_Beauty,Beauty
2809_Beauty,Beauty
2718_Sports,Sports
2622_Sports,Sports
323_Beauty,Beauty
1561_Beauty,Beauty
3283_Beauty,Beauty
288_Beauty,Beauty
1864_Electronics,Electronics
2240_Electronics,Electronics
4507_Electronics,Electronics
3105_Sports,Sports
764_Kitchen,Kitchen
2745_Electronics,Electronics
4080_Sports,Sports
4817_Beauty,Beauty
4034_Kitchen,Kitchen
4626_Beauty,Beauty
986_Sports,Sports
2042_Electronics,Electronics
3737_Beauty,Beauty
1470_Kitchen,Kitchen
